Date,Campus,Male-Adult,Female-Adult,Kids/Teen,Total,Global total,Comments,unique_id
2024-04-30 00:00:00,Lagos - Ago,143,248,26,417,,,243
2024-04-30 00:00:00,Lagos - Ajah,90,126,8,224,,,244
2024-04-30 00:00:00,Abuja - Utako,246,347,48,641,,,245
2024-04-30 00:00:00,Abuja - Mararaba,87,153,22,262,,,246
2024-04-30 00:00:00,Abuja - Lokogoma,170,290,30,490,,,247
2024-04-30 00:00:00,PHC,204,313,29,546,,,248
2024-04-30 00:00:00,Ibadan,317,460,31,808,,,249
2024-04-30 00:00:00,Ife,130,207,1,338,,,250
2024-04-30 00:00:00,Canada,118,187,18,323,,,251
2024-04-30 00:00:00,UK (Birm),46,73,8,127,,,252
2024-04-30 00:00:00,UK (London),74,120,3,197,,,253
2024-04-30 00:00:00,UK (Manchester),29,47,6,82,,,254
2024-04-30 00:00:00,Uyo,77,96,8,181,,,255
2024-04-30 00:00:00,Dallas,19,29,1,49,,,256
2024-04-30 00:00:00,Abeokuta,76,116,9,201,7913,,257
2024-05-07 00:00:00,Lagos - Ikeja,727,978,119,1824,,,258
2024-05-07 00:00:00,Lagos - Yaba,411,724,25,1160,,,259
2024-05-07 00:00:00,Lagos - VI,227,331,21,579,,,260
2024-05-07 00:00:00,Lagos - Ago,166,267,36,469,,,261
2024-05-07 00:00:00,Lagos - Ajah,106,149,8,263,4295,,262
2024-05-07 00:00:00,Abuja - Utako,270,350,28,648,,,263
2024-05-07 00:00:00,Abuja - Mararaba,81,130,15,226,,,264
2024-05-07 00:00:00,Abuja - Lokogoma,178,276,30,484,1358,,265
2024-05-07 00:00:00,PHC,377,255,26,658,,,266
2024-05-07 00:00:00,Ibadan,344,458,50,852,,,267
2024-05-07 00:00:00,Ife,116,191,3,310,,,268
2024-05-07 00:00:00,Canada,134,186,21,341,,,269
2024-05-07 00:00:00,UK (Birm),50,73,7,130,,,270
2024-05-07 00:00:00,UK (London),61,146,5,212,,,271
2024-05-07 00:00:00,UK (Manchester),36,55,5,96,,,272
2024-05-07 00:00:00,Uyo,93,114,5,212,,,273
2024-05-07 00:00:00,Dallas,17,30,1,48,,,274
2024-05-07 00:00:00,Abeokuta,85,143,6,234,8746,,275
2024-05-14 00:00:00,Lagos - Ikeja,924,843,95,1862,,1767,276
2024-05-14 00:00:00,Lagos - Yaba,365,582,24,971,,,277
2024-05-14 00:00:00,Lagos - VI,223,324,35,582,,,278
2024-05-14 00:00:00,Lagos - Ago,231,150,32,413,,,279
2024-05-14 00:00:00,Lagos - Ajah,109,163,11,283,4111,,280
2024-05-14 00:00:00,Abuja - Utako,294,389,31,714,,,281
2024-05-14 00:00:00,Abuja - Mararaba,95,114,22,231,,,282
2024-05-14 00:00:00,Abuja - Lokogoma,188,279,31,498,,,283
2024-05-14 00:00:00,PHC,240,308,31,579,,,284
2024-05-14 00:00:00,Ibadan,348,471,44,863,,,285
2024-05-14 00:00:00,Ife,129,217,3,349,,,286
2024-05-14 00:00:00,Canada,131,199,23,353,,,287
2024-05-14 00:00:00,UK (Birm),52,90,9,151,,,288
2024-05-14 00:00:00,UK (London),69,144,9,222,,,289
2024-05-14 00:00:00,UK(Manchester),39,59,5,103,,,290
2024-05-14 00:00:00,Uyo,82,94,6,182,,,291
2024-05-14 00:00:00,Dallas,22,28,2,52,,,292
2024-05-14 00:00:00,Abeokuta,63,164,10,237,8645,,293
2024-05-21 00:00:00,Lagos - Ikeja,719,1055,77,1851,,,294
2024-05-21 00:00:00,Lagos - Yaba,368,588,19,975,,,295
2024-05-21 00:00:00,Lagos - VI,193,282,18,493,,,296
2024-05-21 00:00:00,Lagos - Ago,173,247,46,466,,,297
2024-05-21 00:00:00,Lagos - Ajah,132,126,19,277,,,298
2024-05-21 00:00:00,Abuja - Utako,295,415,45,755,,,299
2024-05-21 00:00:00,Abuja - Mararaba,106,142,11,259,,,300
2024-05-21 00:00:00,Abuja - Lokogoma,157,281,26,464,,,301
2024-05-21 00:00:00,PHC,226,343,32,601,,,302
2024-05-21 00:00:00,Ibadan,270,443,38,751,,,303
2024-05-21 00:00:00,Ife,121,221,3,345,,,304
2024-05-21 00:00:00,Canada,126,214,22,362,,,305
2024-05-21 00:00:00,UK (Birm),92,55,6,153,,,306
2024-05-21 00:00:00,UK (London),93,131,8,232,,,307
2024-05-21 00:00:00,UK (Manchester),33,58,6,97,482,,308
2024-05-21 00:00:00,Uyo,87,129,9,225,,,309
2024-05-21 00:00:00,Dallas,22,23,0,45,,,310
2024-05-21 00:00:00,Abeokuta,62,156,12,230,8581,,311
2024-05-28 00:00:00,Lagos - Ikeja,720,1048,67,1835,,,312
2024-05-28 00:00:00,Lagos - Yaba,327,476,27,830,,,313
2024-05-28 00:00:00,Lagos - VI,196,290,23,509,,,314
2024-05-28 00:00:00,Lagos - Ago,174,250,49,473,,,315
2024-05-28 00:00:00,Lagos - Ajah,123,149,20,292,,,316
2024-05-28 00:00:00,Abuja - Utako,295,415,45,755,,,317
2024-05-28 00:00:00,Abuja - Mararaba,106,142,11,259,,,318
2024-05-28 00:00:00,Abuja - Lokogoma,157,281,26,464,,,319
2024-05-28 00:00:00,PHC,230,292,37,559,,,320
2024-05-28 00:00:00,Ibadan,223,392,40,655,,,321
2024-05-28 00:00:00,Ife,138,191,4,333,,,322
2024-05-28 00:00:00,Canada,108,167,19,294,,,323
2024-05-28 00:00:00,UK (Birm),50,94,7,151,,,324
2024-05-28 00:00:00,UK (London),77,143,18,238,,,325
2024-05-28 00:00:00,UK (Glasglow),55,43,2,100,,,326
2024-05-28 00:00:00,UK (Manchester),39,57,7,103,,,327
2024-05-28 00:00:00,Uyo,100,129,14,243,,,328
2024-05-28 00:00:00,Dallas,28,32,0,60,,,329
2024-05-28 00:00:00,Abeokuta,64,115,15,194,8347,,330
2024-06-04 00:00:00,Lagos - Ikeja,755,1036,88,1879,,,331
2024-06-04 00:00:00,Lagos - Yaba,328,604,14,946,,,332
2024-06-04 00:00:00,Lagos - VI,195,287,23,505,,,333
2024-06-04 00:00:00,Lagos - Ago,169,246,52,467,,,334
2024-06-04 00:00:00,Lagos - Ajah,132,148,13,293,,,335
2024-06-04 00:00:00,Abuja - Utako,281,367,39,687,,,336
2024-06-04 00:00:00,Abuja - Mararaba,93,139,36,268,,,337
2024-06-04 00:00:00,Abuja - Lokogoma,167,292,22,481,,,338
2024-06-04 00:00:00,PHC,230,370,35,635,,,339
2024-06-04 00:00:00,Ibadan,312,480,40,832,,,340
2024-06-04 00:00:00,Ife,122,194,2,318,,,341
2024-06-04 00:00:00,Canada,127,200,24,351,,,342
2024-06-04 00:00:00,UK (Birm),52,100,6,158,,,343
2024-06-04 00:00:00,UK (London),84,138,5,227,,,344
2024-06-04 00:00:00,UK (Glasglow),27,22,1,50,,,345
2024-06-04 00:00:00,UK (Manchester),36,56,8,100,,,346
2024-06-04 00:00:00,Uyo,94,130,9,233,,,347
2024-06-04 00:00:00,Dallas,23,29,1,53,,,348
2024-06-04 00:00:00,Abeokuta,72,127,10,209,8692,,349
2024-06-11 00:00:00,Lagos - Ikeja,737,1000,78,1815,,,350
2024-06-11 00:00:00,Lagos - Yaba,283,505,19,807,,,351
2024-06-11 00:00:00,Lagos - VI,159,285,19,463,,,352
2024-06-11 00:00:00,Lagos - Ago,174,268,36,478,,,353
2024-06-11 00:00:00,Lagos - Ajah,129,159,20,308,,,354
2024-06-11 00:00:00,Abuja - Utako,212,283,31,526,,,355
2024-06-11 00:00:00,Abuja - Mararaba,69,78,25,172,,,356
2024-06-11 00:00:00,Abuja - Lokogoma,124,199,29,352,,,357
2024-06-11 00:00:00,PHC,230,336,14,580,,,358
2024-06-11 00:00:00,Ibadan,260,464,43,767,,,359
2024-06-11 00:00:00,Ife,128,230,2,360,,,360
2024-06-11 00:00:00,Canada,131,185,21,337,,,361
2024-06-11 00:00:00,UK (Birm),63,106,21,190,,,362
2024-06-11 00:00:00,UK (London),87,144,6,237,,,363
2024-06-11 00:00:00,UK (Glasglow),21,22,1,44,,,364
2024-06-11 00:00:00,UK (Manchester),38,56,4,98,,,365
2024-06-11 00:00:00,Uyo,91,109,5,205,,,366
2024-06-11 00:00:00,Dallas,26,30,3,59,,,367
2024-06-11 00:00:00,Abeokuta,47,98,10,155,7953,,368
2024-06-18 00:00:00,Lagos - Ikeja,733,908,96,1737,,,369
2024-06-18 00:00:00,Lagos - Yaba,349,546,19,914,,,370
2024-06-18 00:00:00,Lagos - VI,186,280,26,492,,,371
2024-06-18 00:00:00,Lagos - Ago,175,276,5,456,,,372
2024-06-18 00:00:00,Lagos - Ajah,145,162,9,316,,,373
2024-06-18 00:00:00,Abuja - Utako,284,415,44,743,,,374
2024-06-18 00:00:00,Abuja - Mararaba,90,121,17,228,,,375
2024-06-18 00:00:00,Abuja - Lokogoma,176,276,23,475,,,376
2024-06-18 00:00:00,PHC,201,303,34,538,,,377
2024-06-18 00:00:00,Ibadan,286,452,51,789,,,378
2024-06-18 00:00:00,Ife,124,148,4,276,,,379
2024-06-18 00:00:00,Canada,141,201,23,365,,,380
2024-06-18 00:00:00,UK (Birm),59,91,6,156,,,381
2024-06-18 00:00:00,UK (London),76,144,7,227,,,382
2024-06-18 00:00:00,UK (Glasglow),22,28,2,52,,,383
2024-06-18 00:00:00,UK (Manchester),36,55,4,95,,,384
2024-06-18 00:00:00,Uyo,99,123,8,230,,,385
2024-06-18 00:00:00,Dallas,31,34,3,68,,,386
2024-06-18 00:00:00,Abeokuta,67,97,6,170,8327,,387
2024-06-25 00:00:00,Lagos - Ikeja,648,948,68,1664,,,388
2024-06-25 00:00:00,Lagos - Yaba,292,443,11,746,,,389
